Date,daily_new_cases
3/12/2020,0.0
3/13/2020,0.0
3/14/2020,18.0
3/15/2020,4.0
3/16/2020,7.0
3/17/2020,8.0
3/18/2020,12.0
3/19/2020,15.0
3/20/2020,10.0
3/21/2020,16.0
3/22/2020,19.0
3/23/2020,20.0
3/24/2020,20.0
3/25/2020,19.0
3/26/2020,33.0
3/27/2020,28.0
3/28/2020,21.0
3/29/2020,18.0
3/30/2020,21.0
3/31/2020,18.0
4/1/2020,10.0
4/2/2020,16.0
4/3/2020,14.0
4/4/2020,12.0
4/5/2020,18.0
4/6/2020,19.0
4/7/2020,20.0
4/8/2020,7.0
4/9/2020,13.0
4/10/2020,6.0
4/11/2020,3.0
4/12/2020,18.0
4/13/2020,10.0
4/14/2020,5.0
4/15/2020,4.0
4/16/2020,7.0
4/17/2020,4.0
4/18/2020,3.0
4/19/2020,5.0
4/20/2020,3.0
4/21/2020,2.0
4/22/2020,1.0
4/23/2020,0.0
4/24/2020,0.0
4/25/2020,1.0
4/26/2020,1.0
4/27/2020,0.0
4/28/2020,1.0
4/29/2020,3.0
4/30/2020,2.0
5/1/2020,1.0
5/2/2020,0.0
5/3/2020,2.0
5/4/2020,1.0
5/5/2020,1.0
5/6/2020,4.0
5/7/2020,2.0
5/8/2020,0.0
5/9/2020,0.0
5/10/2020,5.0
5/11/2020,1.0
5/12/2020,3.0
5/13/2020,2.0
5/14/2020,4.0
5/15/2020,2.0
5/16/2020,0.0
5/17/2020,3.0
5/18/2020,4.0
5/19/2020,2.0
5/20/2020,2.0
5/21/2020,2.0
5/22/2020,2.0
5/23/2020,2.0
5/24/2020,3.0
5/25/2020,0.0
5/26/2020,11.0
5/27/2020,3.0
5/28/2020,7.0
5/29/2020,4.0
5/30/2020,3.0
5/31/2020,1.0
6/1/2020,12.0
6/2/2020,15.0
6/3/2020,13.0
6/4/2020,32.0
6/5/2020,21.0
6/6/2020,12.0
6/7/2020,29.0
6/8/2020,37.0
6/9/2020,42.0
6/10/2020,35.0
6/11/2020,38.0
6/12/2020,34.0
6/13/2020,18.0
6/14/2020,13.0
6/15/2020,23.0
